EP01 IN
EP01：そこから　おっ父の噺を見るのが　|　在这里看父亲的落语
EP01：私は大好きだった　|　是我最喜欢的事
EP01：「そしたら大家がうち来てさ」　|　「后来房东找上门来」
EP01：「ちょいと道具箱預かるなんてこと言うからさ」　|　「说想把工具箱先寄放在他那里」
EP01：「じゃあ道具箱ってことは」　|　「我当时就琢磨 工具箱」
EP01：「大家さん大工なんかやんのかなあと思ってね」　|　「难不成房东要干木匠活吗」
EP01：「じゃあ　どうぞって貸したんだよ」　|　「就痛快地借给他了」
EP01：「あの年で大工なんて務ま」　|　「都这把年纪了还干木匠活」
EP01：「あれ　もうろくだね」　|　「身子骨早就不中用咯」
EP01：「おまえがもうろくだよ」　|　「你才不中用呢」
EP01：「おまえ　おまえそれなんじゃねえか」　|　「你不就是不中用嘛」
EP01：かたい　|　僵硬
EP01：かたいよ　志んちゃん　|　太僵硬了 小志
EP01：かたいですか　|　僵硬吗
EP01：そうだよ　気負いすぎ　|　是的 你太紧绷了
EP01：ですかね　|　可能是吧
EP01：例の試験もあるし　|　考试就要到了
EP01：娘ちゃんも大きいしで　|　女儿也大了
EP01：グッてなるのは分かるけど　|　你会这样我也理解
EP01：もっとこうスーッときてわってね　|　但还是应该更张驰有度一些
EP01：頑張るんだよ　|　要加油哦
EP01：ありがとうございます　|　谢谢您
EP01：随分買ってるんですね　|　您还真看好他啊
EP01：正直パッとしないというか　|　老实说我感觉平平无奇的
EP01：ピンとこなかったんですけど　|　可能是我不懂他的风格吧
EP01：まあ　今日の出来もいまいちだったしね　|　今天的表现确实差了点意思吧
EP01：ならなんで…　|　那为什么要…
EP01：私はあの子の会心の一席を見たことがある　|　我看过这孩子的绝妙一段
EP01：こんなとこでくすぶっていい男じゃないんだよあの子はさ　|　他可不是该闷在这种地方的男人
EP01：朱音の　|　朱音吗
EP01：ちょっと　|　等下
EP01：そんな言い方ないんじゃない　|　没你这样说话的吧
EP01：あなたどうしてそんな…　|　你这孩子为什么这么…
EP01：だからそれはさっき…　|　都说了这是因为刚才…
EP01：だからも何もないから　|　没什么好说的
EP01：うちの子はこんなに泣いて　|　让我的孩子哭成这样
EP01：尾崎さん　大きな声は　|　尾崎夫人 请别这么大声
EP01：申し訳ないとか思わないの　|　你就一点都不觉得愧疚吗
EP01：まったく　これだから今の子は　|　真是的 所以说现在的小孩啊
EP01：全然話聞かないじゃん　|　完全不听人说话啊
EP01：分かった　|　我懂了
EP01：じゃあやってみせるから見て　|　那我演给你们看
EP01：やってみせる？　|　演给我们看？
EP01：事の始まりは　５時間目の国語の時間　|　事情要从第五节课的语文课讲起
EP01：「そんけいする人」をテーマに書いた作文を一人一人発表してた　|　当时我们正挨个朗读以「我尊敬的人」为题写的作文
EP01：「そんけいする人　五年三組桜咲あかね」　|　「我尊敬的人 五年三班樱咲朱音」
EP01：「わたしのそんけいする人はおっ父です」　|　「我尊敬的人 是我的父亲」
EP01：「おっ父は落語家で　話がとっても面白くて」　|　「父亲是位落语家 讲的故事特别有意思」
EP01：「そんけい？やっば」　|　「尊敬？真好笑」
EP01：「ママ言ってたぜ　おまえのパパはヒモだって」　|　「我妈可说了 你爸就是个吃软饭的」
EP01：「それをそんけい」　|　「你尊敬这种人吗」
EP01：「ヒモ　何それ」　|　「吃软饭的 那是什么」
EP01：「そんなことも知らねえのか」　|　「这都不知道吗」
EP01：やばっ　|　不好
EP01：「仕事してない　駄目なパパだって言ってんだ」　|　「就是说他不干活 是个没用的爸爸」
EP01：すごい　|　好厉害
EP01：あの　ホントにこのとおり　そのままでして　|　那个 真的就是这样 情况一模一样
EP01：でも　だからって泣かせるまで言わなくても　|　但也不至于把他弄哭吧
EP01：さっきから被害者ぶってるけどさ　|　刚才起就一直在装被害者
EP01：けんか売ったのそっちだろ　|　找茬的人不是你吗
EP01：なめたこと言ってんじゃねえぞ　この…　|　少在那瞧不起人了 你这…
EP01：やーめーろ　|　别说了
EP01：おっ父　なんで　|　爸爸 为什么
EP01：柳谷先生　すみません　|　柳谷老师 抱歉
EP01：毎度毎度朱音がご迷惑を　|　朱音每次都给您添麻烦了
EP01：そちらさんも　すみません　|　那位夫人也是 十分抱歉
EP01：うちの子が　|　我的孩子
EP01：おっ父　こいつらは　|　爸爸 是这群家伙
EP01：「こいつら」　|　「这群家伙」
EP01：どんな理由であれ　乱暴な言葉を使うのはよくない　|　不管出于什么理由 乱说话都是不好的
EP01：朱音なら分かるよな　|　朱音应该明白吧
