EP01 IN
EP01：あすトろ…　|　外星…
EP01：ここだよな　|　是这里吧
EP01：よし　|　好
EP01：大丈夫ですか　|　没事吧
EP01：危ない　|　危险
EP01：大丈夫　ですか　|　你没事吧
EP01：はい　|　嗯
EP01：イテテ…　|　好痛…
EP01：本当にすみません　|　真的很抱歉
EP01：いえ　|　没事
EP01：屋根の掃除をしていたら　|　我原本在打扫屋顶
EP01：何か動物らしきものがハシゴにぶつかったんですけど　|　但好像有什么动物撞到了梯子
EP01：見ませんでした　|　你有看到吗
EP01：いえ　|　没有
EP01：何も　|　没看到
EP01：あの　ここ　レストランじゃないんですか　|　那个 这里不是餐厅吗
EP01：レストラン？　|　餐厅？
EP01：面接に伺った宮坂拓己です　|　我是来面试的宫坂拓己
EP01：料理長　募集してますよね　|　这里在招聘厨师长吧
EP01：パークグランドホテルの料理人をやってたか　|　在公园大酒店当过厨师啊
EP01：料理長募集って…　|　招聘厨师长…
EP01：どんな求人広告出してたわけ　|　你发的什么招聘广告啊
EP01：これだ　|　找到了
EP01：「株式会社アストロソウ」　|　「外星庄股份有限公司」
EP01：「料理長募集」　|　「招聘厨师长」
EP01：「朝食はバイキング形式も可」　|　「早餐可为自助式」
EP01：「仕事内容　調理　メニュー開発　食品安全衛生面の徹底管理」　|　「工作内容 烹饪 菜品开发 食品卫生安全管理」
EP01：「コスト及びP&L管理　年間予算作成など」　|　「成本以及收支管理 年预算表制作等」
EP01：いつから株式会社になったんだ　|　咱什么时候成股份有限公司了
EP01：写真　ここの建物じゃなくない　|　照片不是这里吧
EP01：よく　ここまで堂々とウソつけるわね　|　真亏你能这样大言不惭地撒谎啊
EP01：なんでこんなことに　|　这是怎么回事
EP01：どのようなことを書いたらいいのか見当もつかなかったので　|　因为我不知道到底该怎么写
EP01：ほかの料理人を募集している方を参考にさせていただいて　|　就参考别的厨师招聘广告了
EP01：見せてみい　|　让我看看
EP01：丸パクリじゃん　|　照抄啊
EP01：ダメなんですか　|　不行吗
EP01：ダメでしょう　JAROに訴えられるレベルですね　|　不行啊 都能告到JARO了
EP01：あの　|　请问
EP01：どういうことなんでしょうか　|　这到底是怎么一回事
EP01：大変　申し訳ありません　|　真的 十分抱歉
