EP01 IN
EP01：フリーダ　|　弗里达
EP01：フリーダ　|　弗里达
EP01：フリーダ　|　弗里达
EP01：ダリ　|　达利
EP01：あの子たちを…　|　给孩子们…
EP01：あの子たちを　たくさんたくさん　愛してあげて　|　给孩子们 倾注满满的爱
EP01：やめろ　やめてくれ　|　别 不要
EP01：よう　くるくる巻き毛じゃないか　|　哟 这不是小卷毛吗
EP01：今日も見目うるわしいことで　|　今天也依旧美丽动人呢
EP01：戯れ言はいい　|　别打趣了
EP01：ヨハネス卿がお待ちだ　|　约翰尼斯卿等着我们
EP01：殺人事件？　|　杀人事件？
EP01：今回の招集はその件についてだろう　|　想必这次召集我们就与此事有关
EP01：そんなものは　血盟警察に任せておけばいい　|　这种事交给血盟警察就行了
EP01：おそらく　この一件には「TRUPM」が関わっている　|　这件事恐怕还牵扯到「TRUPM」
EP01：なら　僕たちが招集されてもおかしくはない　|　这样一来 召集我们也不奇怪了
EP01：高度機密情報保安組織　|　高度机密情报安全组织
EP01：僕たち「ヴラド機関」は　そのために存在しているのだからね　|　这就是我们「弗拉德机关」存在的意义
EP01：失礼します　|　打扰了
EP01：こうして顔を合わせるのも久しぶりだな　|　我们许久没有这样会面了
EP01：ヴラド機関に配属になって　どのくらいになる　|　你们进入弗拉德机关多久了
EP01：十月ほどになります　|　大概十个月了
EP01：もうそんなになるか　それ…　|　已经那么久了吗 那么…
EP01：ヨハネス卿　|　约翰尼斯卿
EP01：わざわざ世間話をするために　この俺を呼び出したわけではないでしょう　|　您专程叫我来 不是为了闲聊吧
EP01：手短に用件を伺いましょうか　|　能直接说正事吗
EP01：実は折り入って君たちに頼みたいことがあるが　|　实话说确实有事要拜托你们
EP01：近頃各地で発生している　連続殺人についてだ　|　有关最近各地发生的连续杀人事件
EP01：やはり　|　如我所料
EP01：調査報告書には目を通しています　|　调查报告书我已经看过了
EP01：さすが　仕事の早いことで　|　不愧是你 工作效率真高
EP01：被害者たちに関連性はなく　無差別に行われているとありましたが　|　报告说被害人之间毫无关联 是无差别行凶
EP01：表向きはなあ　|　只是表面如此
EP01：すべての事件現場に　このカードが残されていた　|　在每处犯罪现场 都留下了这样的卡片
EP01：「平等なる死がもたらされた　この者TRUMPにあらず」　|　「死亡平等地降临 此人并非TRUMP」
EP01：まさか　この事件の犯人がTRUMPの存在を信じているとでも？　|　难不成这次事件的犯人相信TRUMP的存在？
EP01：君たちはどう考えるかね　|　你们怎么想
EP01：TRUMPなど　おとぎ話に出てくる存在にすぎません　|　TRUMP不过只是童话里的存在
EP01：それが世の常識でなければ　|　这必须是世间的常识
EP01：だがTRUMPは存在し　今もこの世界に生き続けている　|　但TRUMP是存在的 如今也还生存在这个世界上
EP01：True of Vamp　|　True of Vamp
EP01：最初の吸血種　|　最初的吸血种
EP01：我々吸血種は　そのたった一人から始まったとされる　|　我们吸血种都源于那个人
EP01：言うなれば　神にも等しき存在だ　|　也可以说 是等同于神的存在
EP01：すべての吸血種は　TRUMPと精神的なつながりを持ち　|　所有的吸血种 都和TRUMP有着精神上的联系
EP01：その絶対的な影響力のもとにある　|　并存在于那绝对的影响力之下
EP01：もし　TRUMPのお心が乱れるようなことがあれば　|　如果 TRUMP的内心被扰乱
EP01：吸血種の社会に　甚大な被害を及ぼしかねない　ですよね　|　可能对吸血种社会造成巨大的损害 对吧
EP01：神様がご機嫌を損ねないよう努めなくてはならないとは　|　我们必须得努力不让神明不高兴
EP01：面倒なことこの上ない　|　没有比这更麻烦的事了
EP01：種の存続に関わる使命を冒涜する物言いは　慎みたまえ　|　请收敛你那亵渎种族存续使命的言论
EP01：もし　今回の事件がTRUMPに影響を及ぼすようならば　由由しき事態となる　|　如果这次事件会对TRUMP造成影响 事态就严重了
EP01：そこでだ　君たちに本件に関する捜査任務を…　|　因此 我想把本次事件的调查任务…
EP01：お断りいたします　|　请容我拒绝
EP01：その任務　丁重にお断りさせていただきます　|　这个任务 请容我郑重地拒绝
EP01：それでは　|　再见
EP01：待て　ダリ　|　等一下 达利
EP01：取り付くしまもなく　断られちゃったんだ　|　不等说完 就干脆地拒绝了
EP01：笑い事ではないぞ　エンリケ卿　|　这可不是好笑的事 恩里克卿
EP01：いや　失礼　|　啊 抱歉
EP01：まあ　ダリちゃんらしいっちゃらしいけど　|　不过 真像小达利会做的事
EP01：事件現場にこのカードが残されていたということは　|　犯罪现场留下了这张卡片 也就是说
EP01：犯人は　TRUMPの実在を信じるカルト教団のものか　|　犯人是相信TRUMP真实存在的邪教教徒吗
EP01：それとも…　|　或者是…
EP01：犯人は　吸血種を一人一人殺して　|　犯人将吸血种一个个杀掉
EP01：不老不死かどうかを確かめてるってことだろう　|　确认他们是否真的不老不死吧
EP01：TRUMPに行き着くまでに　一体何人殺す気なんだか　|　要找到TRUMP 究竟得杀多少人呢
EP01：黙れ　エンリケ卿　|　闭嘴 恩里克卿
EP01：これ以上　事が大きくならないうちに　本件を秘密裏に処理せねばならん　|　在进一步闹大之前 必须秘密解决此事
EP01：故に　ダリをリーダーとし　捜査チームを立ち上げようとしたのだがね　|　所以 我打算让达利做组长 成立调查小组
EP01：奴は名門デリコ家の当主　この重責から逃げ出すとは　|　他是名门德里科家的当家 却逃避这个重任
EP01：職務放棄も甚だしい　|　这是严重的失职
EP01：相変わらず　ディーノは堅物だな　|　迪诺还是这么死板呢
EP01：ヨハネス卿がダリに任せるとお決めになられたのなら　|　既然约翰尼斯卿决定委任达利
EP01：彼には　それに応える義務がある　|　他就有义务接受
EP01：ダリ卿には果たすべき義務を果たさせるのだ　|　我会让达利卿履行他该履行的义务
EP01：「ああ　頼む」と言いたいところではあるが　|　「嗯 拜托了」虽然我想这么说
EP01：いや　行けば分かるだろう　|　算了 你们去了就知道了
EP01：ダリ・デリコ　彼が今　どういう状況に置かれているのか　|　达利·德里科 他现在正处于何种状况
EP01：たく　勿体ぶらずにさっさと教えてくれたらいいのに　|　真是的 少卖关子直接告诉我们就好了
EP01：エンリケ卿　|　恩里克卿
EP01：血筋に見合った言葉を嗜みたまえ　|　请注意言辞与你身份相符
EP01：言葉じりで人を測るわけ　|　你凭言辞来判断人吗
EP01：大事なのは中身でしょ　|　重要是内心吧
EP01：その中身も疑わしいものだが　|　你的内心也值得怀疑
EP01：まあまあ　少なくともダリちゃんはすごい奴だよ　|　总之 再怎么说小达利也很厉害
EP01：ヨハネス卿が期待するのも分かる　|　也难怪约翰尼斯卿看重他
EP01：デリコ家は　吸血種の歴史上最も古くから存在する家の一つだ　|　德里科家是吸血种历史上最古老的家族之一
EP01：歴代当主には　血盟議会のトップにまで登り詰めた者が数多くいる　|　历代当家里也有许多人当上血盟议会首脑
EP01：ダリ卿もまた　新任のころより議会中枢が一目置く実力者だ　|　达利卿也是 上任之后就成为议会中枢敬佩的实力者
EP01：でっかい屋敷だな　|　好大的宅子啊
EP01：よくぞおいでくださいました　|　欢迎各位前来
EP01：ダリ様がお待ちです　|　达利大人已经等候多时
EP01：おい　あのヨボヨボの爺さんなんだよ　|　喂 那个步履蹒跚的老爷爷怎么回事
EP01：デリコ家の執事であろう　|　是德里科家的执事吧
EP01：なんだかブルブル震えてるけど　大丈夫か　|　他走得摇摇晃晃的 没事吧
EP01：よいですか皆様　|　各位听好了
EP01：これから　ダリ様のおられる部屋までご案内いたします　|　接下来我带各位去达利大人所在的房间
EP01：はい　|　好
EP01：そこで皆様が目にするダリ様がどのようなお姿でも　|　无论各位在那里看到达利大人什么模样
EP01：決して驚かれなされませんよ　|　都绝对不要惊讶
EP01：ダリに何かあったのか　|　达利怎么了
EP01：それはあなた様のその目で　お確かめください　|　那还得请您亲眼确认
EP01：こちらでございます　|　就是这里
EP01：なんか　怖くなってきちゃった　|　感觉 有点害怕
EP01：ダリ　|　达利
EP01：入るぞ　|　我们进来了
EP01：泣くな　|　别哭
EP01：泣くなと言っている　|　我说了别哭
EP01：こら　止まれ　|　喂 停下
EP01：なんだ　これ　|　这是 怎么回事
EP01：待て　|　等一下
EP01：ダリ？　|　达利？
EP01：待たせたな　|　久等了
EP01：あの…　|　那个…
EP01：ようやく眠ってくれたようだ　|　终于睡着了
EP01：子供というのはよく泣く　|　小孩子就是爱哭
EP01：あんな小さな体に　あれだけ泣き続ける力があるというのは　|　那么小的身体 居然有力气哭那么久
EP01：実に驚異的なものだ　|　真是不可思议
EP01：これはどういうことだ　|　这是怎么回事
EP01：どういうことだとはどういうことだ　|　什么怎么回事
EP01：貴兄は職務放棄をしたんだぞ　|　你这是玩忽职守
EP01：抜き差しならない事情でもあるのかと思ったが　|　还以为你有要事 分身乏术
EP01：よもや子守などとは　|　居然在照看小孩子
EP01：そんなことを言いに来たのか？　|　你来这里就想说这些？
EP01：そんなことだと　|　你说什么
EP01：子供の世話など　乳母に任せておけばよいだろ　|　小孩子交给保姆照顾不就行了吗
EP01：そういえば　|　说起来
EP01：お前のところにも　ラファエロと同い年の子息がいたな　|　你也有和拉斐尔差不多大的孩子吧
EP01：確か　アンジェリコだったか　|　好像是叫 安杰利科来着
EP01：それがどうした　|　那又怎样
EP01：なら　お前にも分かるだろう　|　那你应该也能理解吧
EP01：育児というものがどれほど大変か　|　育儿究竟有多辛苦
EP01：育児など　高貴なる者のすべきことではない　|　育儿不是贵族该做的事
EP01：俺はそうは思わんがな　|　我倒不这么认为
EP01：なんだと　|　你说什么
EP01：とにかくさ　ダリちゃんが元気そうでよかったよ　|　不管怎样 小达利精力充沛真是太好了
EP01：もしかしたら病気にでもなったんじゃないかって心配してたんだ　|　我们还担心你是不是生病了
EP01：そういえば確か　エンリケとディーノにも子供がいたな　|　话说 恩里克和迪诺也有孩子吧
EP01：うちは双子の女の子で　もう５歳になる　|　我有一对双胞胎女儿 已经五岁了
EP01：私の息子はもうすぐ７歳だ　|　我儿子马上就七岁了
EP01：では　子と育児においては　諸君らは先輩というわけだ　|　那就孩子和育儿而言 诸位就是前辈了
EP01：ぜひ今度見学させてもらいたいものだ　|　下次请一定让我学习学习
EP01：うちは乳母に任せきりだしな　|　我全都交给保姆了
EP01：我らほどの階級の貴族が　|　我们这样高级的贵族
EP01：育児などに自らの手をわずらわせるなど　あってはならんことだ　|　怎么可以自己掺手育儿俗事
EP01：とにかく状況はわかった　|　总之我知道情况了
EP01：貴兄は直ちに職務に戻りたまえ　|　请你立刻回去工作
EP01：ヨハネス卿にも伝えたはずだ　|　我和约翰尼斯卿说过了
EP01：その話はお断りだってな　|　我拒绝这项任务
EP01：ふざけるな　|　别开玩笑了
EP01：ヴラド機関の任務を何だと思っている　|　你把弗拉德机关的任务当什么了
EP01：ふざけた神様のご機嫌うかがいだろ　|　不就是逗荒唐的神明开心吗
EP01：吸血種の存続に関わる使命だ　|　这可是事关吸血种存续的使命
EP01：使命か　|　使命吗
EP01：そんなことより　おむつ替えの方が重要課題だろう　|　相比起来 换尿布才更重要吧
EP01：貴兄は種の存続と　おむつ替えを天秤にかけるというのか　|　你把种族存续和换尿布放在天秤上比较吗
EP01：今はおむつ替えの方が大事だと言っているだけだ　|　我只是说现在换尿布更为重要
EP01：ヨハネス卿は今回の事件解決に　貴兄の力が必要だと考えておられる　|　约翰尼斯卿认为你的力量对解决这次事件不可或缺
EP01：それほどダリちゃんのことを買ってるんだ　|　他就是这么认可你的能力
EP01：俺には関係ない　|　跟我没关系
EP01：ダリ　|　达利
EP01：貴兄はそこまで腑抜けたか　|　你就这么没志气吗
EP01：ただ　頼まれただけだ　|　有人托付于我而已
EP01：やれやれ　もう少しまとまって眠ってくれるとよいんだが　|　哎呀 真希望能多睡一会啊
EP01：待て　ダリ　|　回来 达利
EP01：頼まれたって何だろう　|　他被托付了什么
EP01：ゲルハルト卿には　思い当たる節があるようだな　|　盖尔哈德卿似乎有眉目
EP01：ほらよしよし　父だぞ　|　乖 乖 爸爸在这里
EP01：お前の偉大なる父はここにいるぞ　|　你伟大的爸爸就在这里
EP01：怖くない　何も怖くないぞ　|　别怕 没什么好怕的
