EP1 IN
EP1：先に言っておくと　これからする話は　|　事先说明 接下来要讲的故事
EP1：あんまり気持ちのいい話じゃない　|　可能会让人心情不愉快
EP1：ヒーローも出てこないし　ラブロマンスもない　|　既没有英雄登场 也没有浪漫爱情
EP1：友情物語でも　まして感動的な話なんかでもない　|　不会歌颂友谊 更不会催人落泪
EP1：本当に　くだらない話だ　|　仅仅是无聊至极的故事
EP1：だから　せめて笑い飛ばしてほしい　|　所以希望你们能一笑了之
EP1：あの日　神様になった俺の　|　关于那天我成为神明的
EP1：むなくその悪い奇跡の話を　|　令人恶心的奇迹故事
EP1：その動きやっば　|　你反应也太大了
EP1：てめえ秋津　何しに来たんだよ　|　秋津 你小子来这干什么
EP1：護郎きゅんこそ　何一人でシコシコしてたわけ　|　小护郎才是 怎么一个人在这自慰啊
EP1：気持ち悪い言い方すんじゃねえよ　|　说话别这么恶心
EP1：二奈唯世ね　|　二奈唯世啊
EP1：最近めっちゃ推されてるよな　|　最近很火的那位
EP1：でも歌とか微妙じゃね　|　但她唱功有点微妙吧
EP1：お前　|　你这家伙
EP1：護郎　ちょっと動画撮ってくんない　|　护郎 帮我拍个视频
EP1：いいからいいから　|　别问那么多啦
EP1：ほら撮ってんぞ　|　已经在拍啦
EP1：イケメン秋津君が映ってます　|　画面中的是帅哥秋津君
EP1：バカ　危ないって　|　笨蛋 很危险的
EP1：ここから飛び降りたら　|　从这里跳下去的话
EP1：俺も自由になれんのかな　|　我也能变得自由吗
EP1：何わけわかんねえこと言ってんだ　|　你在说什么莫名其妙的话
EP1：ドッキリ大成功　|　整蛊大成功
EP1：可愛いリアクションしやがって　|　你的反应怎么这么可爱
EP1：動画　後で俺にも送ってくれな　|　视频 待会也发我一份
EP1：死ね　|　去死吧
EP1：さすがにキレた　ごめんって　|　真的生气了吗 对不起啦
EP1：ちょ　ここ一人じゃ上がれねえんだよ　|　等等 这里我一个人可上不去
EP1：護郎君　|　护郎君
EP1：護郎様　|　护郎大人
EP1：護郎きゅん　機嫌直してくれって　|　小护郎 不要生气了
EP1：今度出る二奈唯世のシーディー　あれ奢ってやるからさ　|　二奈唯世下次的CD 我送你一份怎么样
EP1：すでに初回A盤B盤通常盤　各店舗ごとに予約済みだ　|　我已经在各店铺预定了初回A盘B盘通常盘
EP1：10枚ずつな　|　每种十张
EP1：ガッチガチのガチじゃん　|　真的假的啊
EP1：んじゃ　永遠にさよなら　秋津さん　|　那么 永别了 秋津同学
EP1：ごめんね　|　对不起
EP1：ちょっと聞きたいことがあったんだけど　小野君今いいかな　|　我有点事情想问 小野君现在有空吗
EP1：佐和穂花　|　佐和穗花
EP1：はい　佐和さん何でありますか　|　有空 佐和同学有何疑问
EP1：どこの軍曹だよ　|　你是哪里的士兵
EP1：ちょっとSNSに画像あげようと思ってるんだけど　|　我想往社交网站上传照片
EP1：データの形式？っていうのがよくわからなくて　|　文件格式？这些我不太明白
EP1：なるほど　|　这样啊
EP1：スマホの写真って　一回変換しなくちゃいけないんだよね　|　手机拍的照片 要先转换一下格式才行
EP1：だからここをこうやって　|　就是这样
EP1：できた　ありがとう　|　可以了 谢谢你
EP1：いや　お礼言われるほどのことじゃ　|　没有 小事一桩 不用谢
EP1：小野君もSNSやってるの　フォローしてもいいかな　|　你也用社交网站吧 我可以关注你吗
EP1：もちろん　|　当然可以
EP1：俺のIDこれだから　|　这是我的ID
EP1：アイコンかわいい　|　头像好可爱
EP1：そうかな　|　是吗
EP1：穂花　|　穗花
EP1：うちらもう帰るよ　|　我们要回去了
