EP01 IN
EP01：世界の終わりって　一体どんな風に来るんだろう　|　世界的终结会以何种形式到来呢
EP01：子供の時からずっとそのことを考えてた　|　我从小就一直在思考这个问题
EP01：でもそれは　誰も予想しなかった形で　思いがけなく現れた　|　但它以没人预想到的方式 出乎意料地降临了
EP01：ことの発端は　およそ４年前に遡る　|　事情的起因追溯到大约四年前
EP01：この年　アインシュタイン以来の天才と呼ばれたスキナー博士が開発し　|　那一年 被称为自爱因斯坦以来的天才 斯金纳博士
EP01：奇跡の鎮痛剤と呼ばれた「ハプナ」が発売された　|　开发出的被称为奇迹止痛药的「哈普纳」发售了
EP01：全く副作用がなく安価なこの薬は　瞬く間に広がり　|　这种完全没有副作用且廉价的药物迅速普及
EP01：世界はハプナ一色に染まった　|　哈普纳遍布了全世界
EP01：それは　人間をあらゆる苦しみから解放し　|　它使人类脱离了各种痛苦
EP01：世界を救う薬とまで呼ばれた　|　甚至被称为拯救世界的药物
EP01：しかし　スキナー博士は　３年前に忽然と姿を消した　|　然而 斯金纳博士在三年前突然消失了
EP01：その行方を　誰も知らなかった　|　没人知道他的下落
EP01：そして　|　原来
EP01：ハプナは　彼の仕掛けた壮大な罠だったんだ　|　哈普纳是他设下的一个宏大陷阱
EP01：何か曲をかけてくれ　|　放点曲子
EP01：どのような曲にしますか　|　想听什么曲子
EP01：そうだな　|　这个嘛
EP01：「悪魔に魂を売っちまった男」みたいな　|　「把灵魂卖给恶魔的男人」之类的
EP01：そんな曲を頼む　|　就那种歌
EP01：アクセル・ジルベルト　面会だ　|　阿克塞尔·吉尔贝托 有人见你
EP01：俺に？　|　见我？
EP01：制限時間は10分　いいな　|　时间限制10分钟 明白吗
EP01：OK　十分だ　|　OK 足够了
EP01：ごめん　誰だっけ　|　抱歉 你是谁
EP01：あなたとは全くの他人　これが初対面よ　|　我们完全是陌生人 这是第一次见面
EP01：今まで俺の面会に来た他人は　弁護士か殺し屋のどっちかだね　|　之前来见我的陌生人 不是律师就是杀手
EP01：私はそのどちらにもなり得るわ　|　我可能两者都是
EP01：私はハーシュ　今日はあなたにお願いがあってきたの　|　我是赫希 今天来找你有个请求
EP01：その返答いかんで　あなたを自由にしてあげてもいいわ　|　如果你答应 我可以让你自由
EP01：自由だって？　|　自由？
EP01：俺の刑期何年か知ってる　|　你知道我判了几年吗
EP01：888年　つまり終身刑ね　|　888年 也就是终身监禁
EP01：あなたのことは何でも知ってるわ　|　我知道你的一切
