EP01 IN
EP01：何これ何これ　|　这是什么这是什么
EP01：水晶なの　本物の　|　是水晶吗 是真的吗
EP01：やばい　これ超欲しいかも　|　完蛋 超想要这个
EP01：この輝き　透明感　|　这光泽 这透明感
EP01：たまんないわ　|　让人欲罢不能
EP01：瑠璃　|　琉璃
EP01：んな石ころ　いつまで見てんだよ　|　那破石头你要看到什么时候
EP01：買う金もねえくせによ　|　又没钱买
EP01：何言ってんの　|　说什么呢
EP01：私がおねだりすれば　|　只要我撒个娇
EP01：買ってくれる人の10人や20人ぐらい　|　愿意给我买的人有十几二十个
EP01：お願い　お願い　|　求你了求你了
EP01：来月のお小遣い前借りさせて　|　让我预支下个月的零花钱嘛
EP01：だめ　|　不行
EP01：そんな物買わなくてよろしい　|　那种东西没有买的必要
EP01：ほんとにかわいいんだから　|　但真的很可爱嘛
EP01：お母さんにも貸してあげるからさ　|　也会借给妈妈戴的
EP01：本物の水晶でね　|　那可是真正的水晶
EP01：水晶？　|　水晶？
EP01：そんなの昔おじいちゃんが山菜採りに行ってよく拾ってきてたわよ　|　那种东西你爷爷以前去山上挖野菜时经常捡回来
EP01：あのね　水晶ってのは外国で採ってくる物であってね　|　水晶可是在外国才能采到的东西
EP01：その辺に落ちてるわけが…　|　怎么可能随便采到…
EP01：あれでしょ　|　不就是那种
EP01：透明でとんがってて　|　透明的尖尖的
EP01：それ　今　ある　|　那现在家里还有吗
EP01：私興味なかったし　|　我又不感兴趣
EP01：全部誰かにあげちゃったわよ　|　全都送给不知道谁了
EP01：なんで　もったいない　|　为什么啊 太浪费了
EP01：知らないわよ　|　我又不知道
EP01：とにかくお小遣いの前借りは却下　|　总之不能预支零花钱
EP01：はい　|　给
EP01：おじいちゃんが山菜採りに行ってたのって　|　爷爷去采野菜的山
EP01：遠足でよく行く山　|　是我们郊游常去的那座吗
EP01：そうよ　|　是啊
EP01：山菜採るついでに見つかるなら　|　既然爷爷采野菜顺带就能找到
EP01：私にだって採れるはず　|　那我肯定也能采到
EP01：自分で採ればかわいいアクセも豪華なアクセも作り放題　|　自己能采到的话 可爱豪华的首饰就随便做了
EP01：みんな羨ましがるぞ　|　大家肯定都会羡慕我
EP01：とはいえ　半信半疑　|　话虽如此 还是半信半疑
EP01：家から近すぎるもんな　|　毕竟离家太近了
EP01：まあ　とにかく山うろつこう　|　总之先去山里转转吧
EP01：奥に行けば何かあるでしょ　|　往深处走总会有点什么吧
EP01：こんなんでびびらないっての　|　才不会被这个吓到
EP01：こっちはバス代500円も払ってるんだから　|　我可是花了500日元巴士费来的
EP01：この辺でいいか　|　就在这附近找找吧
EP01：石　|　石头
EP01：石　|　石头
EP01：石　石　石　|　石头 石头 石头
EP01：石　石　石　ただの石　|　石头 石头 石头 都是普通石头
EP01：やばい　絶対に見つからない気がしてきた　|　完了 感觉肯定找不到了
EP01：おっと　|　哎呀
EP01：どうした　座り込んで　|　怎么了 蹲在这
EP01：体調が優れないのか　|　身体不舒服吗
EP01：実は水晶　|　其实是找水晶
