EP1 IN
EP1：よっ　鬼殺し　|　哟 杀鬼人
EP1：チキショウ　また勝ちやがった　|　该死 他又赢了
EP1：さあさあ　ご覧いただきましたのは我が一座の大目玉　|　来来 各位刚刚观赏的是我们剧团的拿手好戏
EP1：泣く子も黙る「鬼殺し」の拳闘劇でございました　|　凶狠残暴的「杀鬼人」上演的拳斗剧
EP1：血湧き立ち肉躍る　金棒いらずの恐ろしさ　|　赤手空拳的威慑力 令人热血沸腾
EP1：さあさあ　拍手をお願いします　|　来来 请给予掌声
EP1：お疲れさん　|　辛苦了
EP1：ありがとうございます　座長　|　谢谢你 团长
EP1：今日のあれは何だったんです?　|　今天那个是什么东西
EP1：ショウケラだよ　|　是精蝼蛄
EP1：秩父で「怪奇一掃」の取りこぼしがあってな　|　秩父那边「肃清怪奇」的漏网之鱼
EP1：格安で買い入れた　|　给我捡了便宜
EP1：お神の目もあるでしょうに　|　人在做天在看
EP1：毎度毎度よく用意できますね　|　真亏你每次都能准备好
EP1：そりゃ抜け道はいくらでもあるさ　|　办法多得是
EP1：芸人の質はともかく　|　且不论艺人的质量
EP1：飼っている怪物の数ならうちは東京一だ　|　饲养怪物的数量咱家可是东京第一
EP1：海の向こうの様子を聞くに　|　海对岸的消息我也打听过
EP1：見世物に関しちゃ世界一かもしれねえ　|　要说杂耍我们说不定是世界第一
EP1：質が悪くて悪うござんしたね　|　质量不佳真是抱歉
EP1：何言ってんだよ　お前さんは芸人じゃねえだろう　|　说什么呢 你不算艺人吧
EP1：怪物側だよ　|　算怪物
EP1：何しやがる　この化け物が　|　干什么 你这个妖怪
EP1：いつまでも寝てねえで　とっとと舞台に出ろ　|　别一天到晚就知道睡 快滚上舞台去
EP1：地獄で閻魔に面会し　賄賂を使うて極楽へ　|　在地狱与阎王会面 企图行贿前往天堂
EP1：行けるかい　|　能行吗
EP1：行けないよ　|　行不通的
EP1：はいはい　今日は豊作だよ　|　来来 今天东西很多哦
EP1：どいておくれよ　|　让一让啊
EP1：俺が先だろうか　|　是我先的吧
EP1：おい　コイツより一銭余計に払う　|　喂 我多出一钱
EP1：その芋よこせ　|　把这个土豆给我
EP1：この野郎　うちの方がひもじいんだよ　|　你这混蛋 我家快饿死了
EP1：喰われっぞ　|　要被吃掉了
EP1：こえ　|　好可怕
EP1：おいよ　海軍からの出物だよ　|　给 从海军那拿到的货
EP1：この値段で買えるもんじゃないからね　|　不是这点钱能买到的
EP1：運がいいよ　|　你运气不错
EP1：余計なおせっかいだがな　|　可能是我多管闲事
EP1：酒飲む金があんなら　医者行ったほうがいいぜ　|　如果有喝酒的钱 先去看看医生比较好
EP1：どうしてだい　|　为什么这么说
EP1：花柳病だろ　|　你有性病吧
EP1：畜生　寝坊だ　|　该死 睡过头了
EP1：コイツはあやかしだ　|　这玩意是妖怪
EP1：とっとと殺しちまおうぜ　|　快杀了它吧
EP1：この化け物　歯向かってきやがる　|　这妖怪还敢反抗
EP1：早くやっちまっておくれよ　|　快点干掉它呀
EP1：おい　アンタ　|　喂 你
EP1：鬼殺しだろ　化け物退治してくれよ　|　杀鬼人对吧 来把这个妖怪消灭掉
EP1：アンタがた　コイツはただの猫ですよ　|　你们呀 这不过是只猫
EP1：化け物でもなんでもありません　|　才不是妖怪什么的
EP1：うそつけ　|　你骗人
EP1：こんな猫見たことねえや　|　我才没见过这种猫
EP1：鬼殺しのあたくしにゃ　野良猫は殺せません　|　我是杀鬼人 杀不了野猫
EP1：何が鬼殺しだい　|　什么杀鬼人啊
EP1：ただの仕込みじゃねえか　|　都是排练好的表演吧
EP1：さあさあ　芸人なんかにかかわるんじゃないよ　|　走了走了 别跟艺人扯上关系
EP1：早く帰ろうぜ　|　快点回去吧
EP1：なんと因果な　|　这是什么缘分啊
EP1：上辺の飾りはよいけれど　政治の思想が欠乏だ　|　虽然外表华丽 但缺乏政治思想
EP1：天地の真理がわからない　|　不理解天地间的真理
EP1：心に自由の種をまけ　|　却在心中种下自由的种子
EP1：あたくしに何の御用でしょう　|　请问你找我何事
EP1：いい加減つきまとわれるのも迷惑でして　|　再被纠缠下去我可受不了
EP1：その鳥籠は何ですか　|　那个鸟笼里有什么吗
EP1：よほど大事なものと見える　|　看来是十分重要的东西
EP1：安くないのにこのビール　|　这啤酒可不便宜啊
EP1：さあさあ　二つのぱっくり開いた真っ赤な口　|　各位请看 两张血盆大口
EP1：どちらが飲み込まれるのか　|　究竟谁能吞下另一方呢
EP1：もうよい　鬼殺し　|　够了 杀鬼人
EP1：無礼を許せ　|　请原谅这番无礼
EP1：いきなり鳥籠に触れようとするからだ　|　都怪你突然想触碰鸟笼
EP1：以後気をつけろ　|　以后多加注意
EP1：謝るのか威張るのか　どっちかにしていただけませんかね　|　你到底是要道歉还是摆架子 能否明确一点
EP1：でねえと　|　否则
EP1：どうせ舞台の上でしか殺せないのだろう　|　反正你只有在舞台上才能下杀手吧
EP1：あたくしのことをよくご存じのようだ　|　看来你很了解我
EP1：あなた何者です　|　你是什么人
EP1：お前をひいきにしている者さ　|　是仰慕你的人
EP1：さすがだな鬼殺し　|　不愧是杀鬼人
EP1：静句とここまで渡り合うとは　|　能和静句打得不相上下
EP1：噂を信じて東京くんだりまで来た甲斐があったというものだ　|　也不枉费我相信传言来到东京的郊区
EP1：変わった芸をお持ちのようですが　|　你好像有什么奇怪的技艺
EP1：うちに入りたきゃ座長を通してもらえますかね　|　但是要想加入我们还得先得到团长的同意
EP1：お前の寿命はそう長くはなさそうだ　|　你的寿命应该不长了
EP1：どういうことです　|　这是何意
EP1：お前は勝ち続けてもじきに死ぬ　|　即使你一直取胜 不久也将死去
EP1：あれは芸じゃない　|　那并不是表演
EP1：少なくとも見せかけやまやかしじゃないな　鬼殺し　|　至少不是假斗或骗局对吧 杀鬼人
EP1：いや　鬼半分人半分の鬼混じり　|　不 一半是鬼一半是人的混鬼
EP1：私は目が肥えているからね　|　我眼睛很好
EP1：そういうのは見ただけで分かるんだ　|　只用看一眼就能明白
EP1：お前には鬼が混じっている　|　你的身体混合着鬼
EP1：あらゆる化け物を殺せる生き物　鬼が　|　能杀死任何怪物的生物 鬼
EP1：だがちょっとばかり乱暴に混ざりすぎてるな　|　可是混合得有些过于强硬
EP1：それだけ粗い仕上がりだと正気を保つのも一苦労だろう　|　这么粗暴的混合 想必你连保持理智都很辛苦吧
EP1：劇場で毎日のように力を使っているならなおさらだ　|　每天在剧场使用力量更是雪上加霜
EP1：お前　近いうちに鬼に飲まれて死ぬぞ　|　用不了多久你就会被鬼吞噬而死亡
EP1：あなたどなたです　|　你究竟是什么人
EP1：何をどこまでご存じで　|　到底知道多少
EP1：場合によっちゃあ　さっきの続きをしなくちゃなりませんが　|　根据情况 可能不得不继续刚才的打斗了
EP1：まあ慌てるな　|　不必惊慌
EP1：私はね　お前に取引を持ってきたんだ　|　我给你带来了一项交易
EP1：取引？　|　交易？
EP1：なに　決して損はさせやしない　|　别担心 绝对不会让你吃亏
EP1：お互いにとってうまい話さ　|　对我们双方来说都是好事
EP1：私はお前の寿命を延ばす術を持っている　|　我有方法能延长你的寿命
EP1：私の頼みを聞くとお前が約束してくれるなら　|　只要你答应我的请求
EP1：礼としてその術を教えてやろう　|　作为交换我会告诉你那个方法
EP1：私を殺してくれ　|　请你杀死我
EP1：私は輪堂鴉夜　|　我名叫轮堂鸦夜
EP1：これは馳井静句という私の従者だ　|　她是驰井静句 我的仆人
EP1：てっきり腹話術かと思いましたよ　|　我还以为肯定是腹语术
EP1：無口な方ですね　|　这位小姐不太爱说话呢
EP1：そのうち声を聞くこともあるだろう　|　你以后会听到的
EP1：あなたひょっとして不死ってやつで　|　难道你就是所谓的「不死」
EP1：ああ　|　没错
EP1：この世に一匹しかいないっていうあの？　|　这世上仅有一只的那个？
EP1：ああ　|　是的
EP1：ただの与太だと思ってやした　|　我还以为那只是怪谈
EP1：与太話ではなく本当だ　|　不是怪谈 是真的
EP1：というか一匹ではなく一人と言え　|　另外不是一只 请用一位
EP1：不死ってのは仙人みたいなヨボヨボのじいさんだと思ってましたが　|　说到「不死」 我想象中是仙人一样步履蹒跚的老人
EP1：不老不死なんだから老いもしないさ　|　正因为不老不死 我是不会老的
EP1：947年間　14歳と3か月のままだ　|　在947年间 我一直保持着14岁3个月的样貌
EP1：940年前ってえと　平安時代ですか　|　940年前的话 平安时代吗
EP1：そうなるな　|　没错
EP1：しかしどうして首だけなんです　|　但是为何你只有头
EP1：半年前あるアホに持って行かれたんだよ　首から下をな　|　头以下的部分在半年前被一个傻子拿走了
EP1：不死ってのは首をちょん切られてもすぐに治ると聞きましたが　|　据说「不死」就算头被砍了也能马上复原
EP1：じゃあなぜ今のあなたは元通りに治らないんです　|　为何你现在无法复原
EP1：不死にも一つだけ敵わないものがあるんだ　|　即使身为「不死」 也有个敌不过的东西
EP1：鬼ですか　|　是鬼吗
EP1：詳しいな　|　你很清楚嘛
EP1：芸人になる前はその手の仕事をしてたもんで　|　做艺人之前有干过那方面的活
EP1：確かに鬼にやられた傷はすぐには治りませんし　|　确实鬼造成的伤势不能马上治愈
EP1：もしあなたが鬼に切られたとしたら　|　如果你被鬼砍了
EP1：普通に死ぬはずです　|　正常来讲应该会死
EP1：なのに…　|　然而…
EP1：答えはいつも灯台下暗しさ　鬼殺し　|　答案总是近在眼前啊 杀鬼人
EP1：なるほど　|　原来如此
EP1：鬼は化け物の再生能力を無効にする　|　鬼能使怪物的再生能力失效
EP1：だがそれが別の生き物と半分ずつ混ざった中途半端な生き物だったら　|　可如果那是与其他生物混合了一半的半成品
EP1：相手に及ぼす力も半減だ　|　施加在对方身上的能力也会减半
EP1：結果喋る生首の一丁上がりというわけだ　|　结果就留下了现在这个能说话的头颅
EP1：じゃ　あなたを襲ったのも鬼混じり　|　所以 袭击你的也是混鬼
EP1：それしか考えられまい　|　只有这个可能了
EP1：と言っても下手人は完全に顔を隠していて　|　话虽如此 杀手完全遮住了面孔
EP1：私が見たのはそいつが仕える親玉だけだったがな　|　我只看到首领的样子
EP1：しわがれ声の杖をついた老人で　|　那是个声音沙哑 拄着拐杖的老人
EP1：この国の者ではなかった　|　不是这个国家的人
EP1：異人だ　|　是异国之人
EP1：杖　異人　|　拐杖 异国之人
EP1：静句は深手を負い　私はこの体たらく　|　静句身受重伤 而我身首异处
EP1：正直まいったよ　|　说实话无计可施了
EP1：体を取り戻そうにもヤツらの行方は遥か彼方で　|　就算想要取回身体 他们也远在异国他乡
EP1：首だけではどうしようもない　|　只剩头颅的我自然无可奈何
EP1：しかし同じ鬼混じりと言っても　|　不过 虽说都是混鬼
EP1：お前は人と鬼が半々というわけではなさそうだ　|　你似乎并非正好半人半鬼
EP1：鬼の濃度の方が遥かに濃い　|　鬼的浓度要高上许多
EP1：ということは化け物に効く力も強い　|　也就是说 限制怪物再生的能力应该更强
EP1：したがって私の見立てによれば　|　因此 根据我的判断
EP1：不死も殺せるはずだ　|　你应该能够杀死「不死」
EP1：今日は終いだよ　|　今天就到此为止
EP1：なあお前ら　|　我说你们几个
EP1：どっちか　生首にならねえか　|　有谁能变成一颗头颅吗
EP1：場所を変えませんか　|　换个地方吧
EP1：ここで見つかったら間違いなく見世物にされちまいますよ　|　如果被发现了 肯定免不了登上舞台表演
EP1：ところで鬼殺し　|　话说回来 杀鬼人
EP1：あざなで呼ぶのは大仰ですからよしてくださいよ　|　就别用这么夸张的外号来称呼我了 
EP1：こっ恥ずかしいです　|　我会不好意思的
EP1：では名は何という　|　那你名叫什么
EP1：真打津軽と申します　|　我叫真打津轻
EP1：真打？　|　真打？
EP1：前座にしか見えんがな　|　怎么看都是前座吧
EP1：まあいい　では津軽　|　算了 津轻
EP1：何でしょう　|　有何贵干
EP1：お前は死にたがっているが　生きたがっている　|　你想死 同时又想活下去
EP1：なぜだ　|　这是为何
EP1：えらく難しいご質問ですが　|　这还真是个复杂的问题呢
EP1：もう少し平たくしちゃいただけませんか　|　能拜托你讲得通俗点吗
EP1：力を使えば使うほど　|　越是使用鬼的力量
EP1：鬼に体を飲まれて理性を失う可能性が高まり　|　就越可能失去理性 被鬼吞噬
EP1：お前の寿命は縮んでゆく　|　你的寿命也将缩短
EP1：にもかかわらず　|　可是
EP1：見世物に出続けているということは　|　你却没有停止表演
EP1：死に急いでいるということだ　|　这就是一心求死
EP1：つまり死にたがっている　|　所以说你想死
EP1：だがお前は抗った　|　但是 你又在反抗死亡
EP1：静句ならばお前の命を奪うこともできただろう　|　静句能够夺取你的性命
EP1：にもかかわらずお前は闘った　|　可你却选择了战斗
EP1：なぜ生きたがる　|　为何又想活下去
EP1：なぜだ　|　为何
EP1：おっしゃる通り　|　你说得不错
EP1：あのまま見世物小屋に居続けりゃ　|　如果一直待在那杂耍小屋
EP1：あたくしはいつか鬼に飲まれて暴れまわった末　|　总有一天我将被鬼吞噬从而暴走
EP1：どっかの憲兵に打ち殺されて死んでいたでしょう　|　然后落得个被宪兵打死的下场吧
EP1：でもそれでいいんです　|　不过这样倒也不错
EP1：それがあたくしの狙いでしたから　|　不如说 这正中我的下怀
EP1：あたくしが力を使いすぎて鬼に飲まれるとしたら　|　如果我过度使用鬼的力量而被鬼吞噬
EP1：そいつは十中八九怪物と闘っていて興奮状態の時に起こるでしょう　|　八成也是在和怪物战斗 进入兴奋状态的情况下
EP1：そん時私の周りにいるのは　|　那时在我周围的人
EP1：下衆で低俗で悪趣味な血みどろ好きの客たちと　|　就是喜欢看血流成河 下贱又低俗的客人
EP1：そいつら相手に商売してる講釈師に座長ども　|　和做这种生意的讲谈师和团长
EP1：ということは　|　也就是说
EP1：鬼に飲まれたあたくしが最初に襲うのもそいつらです　|　被鬼吞噬后我最初袭击的就是这群家伙
EP1：逃げ惑う人間たちが絶叫の渦に叩き込まれ　|　仓皇逃窜的人们被卷入尖叫的漩涡
EP1：金網鉄扉もなんのその　|　铁网钢门也无济于事
EP1：場末の小劇場に官憲が駆けつけるまで　|　在警察赶到这郊区小剧场之前
EP1：果たして何人殺すことやら　|　我究竟能杀死多少人呢
EP1：怪物同士の殺し合いを自分だけは安全と　|　那些在安全地带看怪物们相互残杀 
EP1：高みの見物を決め込んだアホどもが　|　以为自己可以高枕无忧的白痴们
EP1：まさしく舞台の上と同じ地獄を味わうわけです　|　我正是想让他们感受一下如舞台之上的地狱
EP1：余命いくばくもねえと分かった時考えました　|　知道自己命不久矣的时候 我就在想
EP1：どうせ死ぬなら愉快に死にたい　|　反正都要死 不如死得愉快一些
EP1：どういう死に方をしたら一番おもしれえか　|　什么样的死法最有意思呢
EP1：これならちょっとした世直しになる上　|　这样的死法不仅能纠正一下世风
EP1：芸としても一級品だ　|　也是一流的表演
EP1：そこでわざと座長に拾ってもらったんです　|　于是我故意让团长看中
EP1：もっとたくさん客を集めるまでは飲まれずにおこうと　|　在吸引更多的客人之前 抵抗着鬼的侵蚀
EP1：ごまかしごまかしやってたんですが　|　隐藏着真正的目的干到了今天
EP1：寿命を伸ばしてくれるとあなたが言うんで　|　既然你能延长我的寿命
EP1：もうその計画もやめました　|　那原来的计划就作废了
EP1：それがあたくしの本音です　|　这就是我的真实想法
EP1：おかしなヤツだ　|　奇怪的家伙
EP1：お前にとっては自分の命も冗談の種か　|　对你来说 自己的性命也不过是一个玩笑吗
EP1：怪物をおもしろおかしく殺すのがあたくしの芸です　|　把怪物有趣地杀掉就是我的表演
EP1：なら自分のこともそうやって殺すのが筋ってもんじゃありませんか　|　那么 自己也被如此杀死才合乎情理
EP1：何せあたくしも怪物ですから　|　毕竟 我也是怪物啊
EP1：鬼殺し　|　杀鬼人
EP1：鬼と混ざるまでもなくお前は生まれながらの人外だ　|　就算不混杂鬼 你也是天生的人外之物了
EP1：身に余るお言葉で　|　承蒙夸奖
EP1：改めて言うが私を殺してくれないか　|　话说回来 你愿意杀死我吗
EP1：死に急ぐのは良くないのでは　|　急于求死可不推荐啊
EP1：急ぐどころか遅すぎだろう　|　死亡对我来说已经迟到太久了
EP1：この歳で首だけになってまで生きたところで面白いことは何もない　|　到了这个年纪 只剩头颅活下去也没有任何乐趣
EP1：頼みの綱はお前だけなんだ　|　能依靠的人就只有你了
EP1：そいつはどうも　|　那还真是责任重大
EP1：ですがお断りします　|　不过我拒绝
EP1：私を殺さなければお前も近いうちに死ぬんだぞ　|　不杀我的话 你也没有几天好活了
EP1：寿命は延ばしていただきます　|　我会接受延长寿命的方法
EP1：でもあなたは殺しません　|　但是我不会杀你
EP1：冗談のつもりならやめておけ　|　玩笑话就到此为止吧
EP1：何せ私は首から下がないからな　|　毕竟我已经只剩下头颅了
EP1：ずっこけることもできん　|　可没法陪你胡闹
EP1：先ほどあなた　「体を取り戻そうにも」とおっしゃいましたね　|　刚才你提到 「就算想要取回身体」
EP1：そいつはつまり体を取り戻しゃ　|　那就是说 有办法能取回身体
EP1：また元に戻れる算段があるってことじゃありませんか　|　然后让自己恢复原样 不是吗
EP1：なるほど　|　原来如此
EP1：どうやらバカではないらしい　|　看来你不是个笨蛋
EP1：だが相手の居場所が遠すぎる　|　可是对方太过遥远
